respondent_id,overall_satisfaction,product_quality,customer_service,value_for_money,delivery_speed,website_usability,brand_reputation
1,8,9,8,7,8,7,8
2,7,7,8,6,7,6,7
3,6,6,7,5,6,5,6
4,9,9,9,8,9,8,9
5,8,8,8,7,8,7,8
6,5,5,6,4,5,4,5
7,7,7,7,6,7,6,7
8,8,8,9,7,8,7,8
9,6,6,6,5,6,5,6
10,9,10,9,8,9,8,9
11,7,7,8,6,7,6,7
12,7,7,7,6,7,6,7
13,8,8,8,7,8,7,8
14,8,8,9,7,8,7,8
15,6,6,7,5,6,5,6
16,9,9,9,8,9,8,9
17,7,7,8,6,7,6,7
18,5,5,6,4,5,4,5
19,8,8,8,7,8,7,8
20,7,7,7,6,7,6,7
21,6,6,6,5,6,5,6
22,7,7,8,6,7,6,7
23,8,8,9,7,8,7,8
24,6,6,7,5,6,5,6
25,9,9,9,8,9,8,9
26,8,8,8,7,8,7,8
27,5,5,6,4,5,4,5
28,7,7,7,6,7,6,7
29,8,8,9,7,8,7,8
30,6,6,7,5,6,5,6
31,9,10,9,8,9,8,9
32,8,8,8,7,8,7,8
33,7,7,7,6,7,6,7
34,8,8,9,7,8,7,8
35,9,9,9,8,9,8,9
36,6,6,6,5,6,5,6
37,7,7,8,6,7,6,7
38,8,8,8,7,8,7,8
39,5,5,6,4,5,4,5
40,9,9,9,8,9,8,9
41,8,8,9,7,8,7,8
42,6,6,7,5,6,5,6
43,7,7,7,6,7,6,7
44,8,8,8,7,8,7,8
45,6,6,6,5,6,5,6
46,9,10,9,8,9,8,9
47,8,8,9,7,8,7,8
48,7,7,7,6,7,6,7
49,8,8,8,7,8,7,8
50,9,9,9,8,9,8,9
51,6,6,7,5,6,5,6
52,7,7,8,6,7,6,7
53,8,8,8,7,8,7,8
54,5,5,6,4,5,4,5
55,9,9,9,8,9,8,9
56,8,8,9,7,8,7,8
57,6,6,6,5,6,5,6
58,7,7,8,6,7,6,7
59,8,8,8,7,8,7,8
60,6,6,7,5,6,5,6
61,9,10,9,8,9,8,9
62,8,8,8,7,8,7,8
63,7,7,7,6,7,6,7
64,8,8,9,7,8,7,8
65,9,9,9,8,9,8,9
66,6,6,6,5,6,5,6
67,7,7,8,6,7,6,7
68,8,8,8,7,8,7,8
69,6,6,7,5,6,5,6
70,9,9,9,8,9,8,9
71,8,8,9,7,8,7,8
72,5,5,6,4,5,4,5
73,7,7,7,6,7,6,7
74,8,8,8,7,8,7,8
75,6,6,7,5,6,5,6
76,9,10,9,8,9,8,9
77,8,8,8,7,8,7,8
78,6,6,6,5,6,5,6
79,7,7,8,6,7,6,7
80,8,8,9,7,8,7,8
81,7,7,7,6,7,6,7
82,9,9,9,8,9,8,9
83,8,8,9,7,8,7,8
84,6,6,6,5,6,5,6
85,8,8,8,7,8,7,8
86,9,10,9,8,9,8,9
87,5,5,6,4,5,4,5
88,7,7,7,6,7,6,7
89,8,8,9,7,8,7,8
90,6,6,7,5,6,5,6
91,9,9,9,8,9,8,9
92,8,8,8,7,8,7,8
93,6,6,6,5,6,5,6
94,7,7,8,6,7,6,7
95,8,8,9,7,8,7,8
96,6,6,7,5,6,5,6
97,9,10,9,8,9,8,9
98,8,8,8,7,8,7,8
99,7,7,7,6,7,6,7
100,8,8,9,7,8,7,8
