respondent_id,var1,var2,var3,var4,var5
1,8,7,6,8,7
2,8,8,7,9,8
3,3,4,3,4,3
4,9,8,8,9,9
5,4,3,4,3,4
6,8,7,7,8,7
7,3,3,4,4,3
8,9,9,8,9,8
9,4,4,3,3,4
10,8,8,7,8,8
11,3,4,4,4,3
12,9,8,9,9,8
13,4,3,3,4,4
14,8,7,8,7,8
15,3,3,3,3,3
16,9,9,9,9,9
17,4,4,4,4,4
18,8,8,8,8,8
19,3,4,3,3,4
20,9,8,8,8,9
21,4,3,4,4,3
22,8,7,7,7,7
23,3,3,4,3,3
24,9,9,8,9,9
25,4,4,3,4,4
26,8,8,7,8,7
27,3,3,3,4,3
28,9,8,9,8,9
29,4,3,4,3,4
30,8,7,8,8,7
31,3,4,3,4,4
32,9,9,9,8,9
33,4,4,4,3,3
34,8,8,8,7,8
35,3,3,3,3,4
36,9,8,9,9,8
37,4,3,4,4,4
38,8,7,7,8,8
39,3,4,4,3,3
40,9,9,8,9,8
41,4,4,3,4,3
42,8,8,8,8,7
43,3,3,4,4,4
44,9,8,8,9,9
45,4,3,3,3,4
46,8,7,7,7,8
47,3,4,3,3,3
48,9,9,9,9,8
49,4,4,4,4,3
50,8,8,7,8,8
